file_name,type,eval,correctly_type,correctly_eval
const_1,True,True,True,True
const_2,True,True,True,True
const_3,True,True,True,True
funrec_1,True,True,True,True
fun_1,True,True,True,True
fun_2,True,True,True,True
fun_3,True,True,True,True
fun_4,True,True,True,True
abs_1,True,True,True,True
abs_2,True,True,True,True
and,True,True,True,True
app_1,True,True,True,True
or,True,True,True,True
add,True,True,True,True
div,True,True,True,True
eq,True,True,True,True
lt,True,True,True,True
mul,True,True,True,True
not_1,True,True,False,True
not_2,True,True,True,True
sub,True,True,True,True
