file_name,type,eval,correctly_type,correctly_eval
cmds_1,True,True,True,True
const_1,True,True,True,True
const_2,True,True,True,True
const_3,True,True,True,True
funrec_1,True,True,True,True
fun_1,True,True,True,True
fun_2,True,True,True,True
fun_3,True,True,True,True
fun_4,True,True,True,True
procRec_1,True,True,True,True
proc_1,True,True,True,True
proc_2,True,True,True,True
var_1,True,True,True,True
var_2,True,True,True,False
abs_1,True,True,True,True
abs_2,True,True,True,True
and,True,True,True,True
app_1,True,True,True,True
or,True,True,True,True
add,True,True,True,True
div,True,True,True,True
eq,True,True,True,True
lt,True,True,True,True
mul,True,True,True,True
not_1,True,True,False,True
not_2,True,True,True,True
sub,True,False,True,True
callRec_1,True,True,True,True
callRec_2,True,True,True,True
call_1,True,True,True,True
call_2,True,True,True,True
call_3,True,True,False,False
if_1,True,True,True,True
if_2,True,True,True,True
set_1,True,True,False,False
set_2,True,True,True,True
set_3,True,True,False,True
set_4,True,True,True,True
set_5,False,True,False,False
while_1,True,True,True,True
